,category,median1 K,median1 Top 1,median1 Top 1 SA,median1 Top 10,median1 Top 10 SA,median1 Top 100,median1 Top 100 SA,median1 2nd,median1 2nd SA,median1 3rd,median1 3rd SA,median1 Top 1 AUC,median1 Top 10 AUC,median1 Top 100 AUC,median2 K,median2 Top 1,median2 Top 1 SA,median2 Top 10,median2 Top 10 SA,median2 Top 100,median2 Top 100 SA,median2 2nd,median2 2nd SA,median2 3rd,median2 3rd SA,median2 Top 1 AUC,median2 Top 10 AUC,median2 Top 100 AUC,celecoxib_rediscovery K,celecoxib_rediscovery Top 1,celecoxib_rediscovery Top 1 SA,celecoxib_rediscovery Top 10,celecoxib_rediscovery Top 10 SA,celecoxib_rediscovery Top 100,celecoxib_rediscovery Top 100 SA,celecoxib_rediscovery 2nd,celecoxib_rediscovery 2nd SA,celecoxib_rediscovery 3rd,celecoxib_rediscovery 3rd SA,celecoxib_rediscovery Top 1 AUC,celecoxib_rediscovery Top 10 AUC,celecoxib_rediscovery Top 100 AUC
mimosa,graph,10000,0.296 (10|3),3.481 (11|4),0.276 (10|3),3.928 (12|5),0.251 (10|3),4.263 (16|7),0.285 (10|3),3.74 (13|5),0.281 (10|3),3.898 (18|8),0.271 (8|3),0.244 (8|3),0.213 (8|3),10000,0.238 (13|3),2.739 (9|1),0.229 (12|3),2.826 (10|1),0.216 (10|3),3.08 (15|2),0.234 (12|3),2.748 (10|2),0.23 (12|3),2.602 (8|1),0.228 (13|3),0.215 (10|3),0.196 (8|3),9260,0.438 (13|5),3.064 (22|9),0.428 (11|4),3.081 (21|8),0.406 (10|3),3.322 (22|9),0.435 (13|5),3.18 (22|9),0.432 (12|5),3.091 (21|8),0.421 (12|4),0.392 (10|3),0.351 (10|3)
reinvent,string,6022,0.4 (1|1),3.353 (6|2),0.399 (1|1),3.415 (6|2),0.383 (1|1),4.032 (9|3),0.4 (1|1),3.353 (7|2),0.4 (1|1),3.353 (5|1),0.347 (2|1),0.33 (1|1),0.287 (1|1),10000,0.333 (3|2),2.475 (7|3),0.326 (2|1),2.661 (7|3),0.313 (1|1),2.737 (10|4),0.33 (3|2),2.625 (7|2),0.329 (2|1),2.613 (9|3),0.29 (2|1),0.277 (2|1),0.259 (2|1),6641.8,0.96 (1|1),2.157 (7|1),0.862 (1|1),2.355 (16|6),0.821 (1|1),2.724 (17|6),0.877 (2|1),2.335 (16|6),0.85 (1|1),2.229 (4|1),0.732 (2|1),0.644 (2|1),0.56 (2|1)
smiles_lstm_hc,string,10000,0.389 (4|3),4.199 (19|6),0.351 (3|3),4.299 (21|7),0.315 (4|3),4.243 (13|4),0.364 (4|3),4.525 (21|7),0.357 (3|3),4.602 (23|9),0.299 (7|3),0.256 (6|3),0.214 (7|4),10000,0.34 (1|1),3.266 (18|7),0.318 (3|2),3.026 (15|7),0.291 (5|3),2.682 (8|3),0.333 (1|1),3.059 (15|7),0.322 (3|2),3.196 (20|7),0.277 (4|2),0.249 (6|3),0.218 (7|4),10000,0.851 (3|2),2.22 (11|3),0.786 (3|2),2.311 (12|2),0.695 (3|2),2.403 (9|3),0.824 (3|2),2.265 (13|4),0.798 (3|2),2.317 (11|5),0.621 (5|2),0.54 (5|2),0.45 (6|3)
selfies_vae_bo,string,10000,0.232 (19|7),4.539 (22|8),0.212 (18|7),4.612 (24|9),0.175 (19|8),4.45 (21|8),0.227 (17|7),4.804 (24|9),0.221 (18|7),4.345 (21|7),0.226 (17|7),0.202 (16|7),0.16 (17|7),10000,0.206 (16|8),2.45 (6|2),0.192 (17|8),2.896 (13|6),0.169 (19|8),3.065 (14|7),0.203 (16|8),2.692 (8|3),0.195 (17|8),2.821 (10|4),0.202 (15|7),0.186 (16|8),0.16 (18|8),10000,0.391 (19|7),2.366 (17|6),0.353 (20|8),2.323 (15|5),0.29 (19|8),2.446 (10|4),0.371 (19|7),2.231 (12|3),0.366 (19|7),2.405 (13|6),0.388 (16|6),0.327 (18|7),0.262 (19|8)
dog_gen,synthesis,8862.6,0.323 (8|2),3.459 (10|3),0.296 (8|2),3.419 (7|2),0.261 (9|2),3.483 (4|2),0.307 (8|2),3.583 (10|2),0.303 (8|2),3.447 (12|2),0.234 (15|2),0.208 (13|3),0.172 (13|3),10000,0.297 (6|1),2.708 (8|4),0.287 (6|1),2.571 (4|3),0.263 (7|2),2.511 (2|2),0.294 (6|1),2.425 (4|3),0.291 (6|1),2.419 (6|3),0.23 (11|3),0.213 (11|3),0.189 (11|3),9319,0.76 (5|1),2.09 (6|2),0.682 (6|1),2.189 (2|1),0.584 (6|1),2.243 (3|2),0.721 (6|1),2.126 (8|1),0.699 (6|1),2.318 (12|3),0.511 (7|2),0.452 (7|2),0.376 (7|2)
stoned,string,4140.8,0.295 (11|5),3.911 (16|5),0.283 (9|5),4.236 (19|5),0.264 (8|5),4.782 (24|9),0.291 (9|5),3.851 (15|5),0.287 (9|5),4.273 (20|6),0.262 (10|5),0.242 (9|4),0.216 (6|3),9341.8,0.266 (10|5),3.785 (24|9),0.264 (8|4),3.913 (24|9),0.26 (8|4),4.097 (24|9),0.266 (9|5),3.739 (24|9),0.265 (9|5),3.782 (24|9),0.249 (8|4),0.244 (7|4),0.236 (4|2),6255,0.401 (18|6),3.129 (23|8),0.398 (14|5),3.477 (23|8),0.393 (12|5),3.657 (23|8),0.401 (14|5),3.382 (23|8),0.401 (14|5),3.503 (23|8),0.383 (17|7),0.374 (13|5),0.352 (9|4)
gflownet,graph,10000,0.237 (17|6),2.83 (3|3),0.217 (16|5),3.026 (3|3),0.187 (15|5),3.332 (3|2),0.227 (17|6),2.206 (1|1),0.223 (16|5),2.485 (2|2),0.225 (18|6),0.202 (16|5),0.166 (14|5),10000,0.198 (20|6),3.513 (23|9),0.189 (19|6),3.351 (20|7),0.175 (17|5),3.63 (20|7),0.193 (19|6),3.23 (19|7),0.191 (19|6),3.087 (17|5),0.195 (17|4),0.181 (18|5),0.165 (17|5),10000,0.409 (16|6),2.864 (21|8),0.36 (18|6),3.12 (22|9),0.308 (18|6),3.237 (21|8),0.391 (18|6),2.624 (19|7),0.375 (17|6),3.177 (22|9),0.375 (20|7),0.328 (17|6),0.276 (18|6)
reinvent_selfies,string,4209.2,0.4 (1|1),3.353 (6|2),0.396 (2|2),3.399 (5|1),0.34 (2|2),3.779 (7|1),0.4 (1|1),3.353 (7|2),0.4 (1|1),3.353 (5|1),0.322 (3|2),0.298 (3|2),0.243 (4|2),9729.8,0.313 (5|3),2.766 (11|5),0.31 (5|3),2.841 (12|5),0.301 (3|2),2.988 (12|6),0.313 (5|3),2.699 (9|4),0.311 (5|3),2.822 (11|5),0.269 (5|3),0.254 (4|2),0.231 (6|3),7480.2,0.751 (7|3),2.283 (15|5),0.722 (5|3),2.568 (19|7),0.685 (5|3),2.725 (18|7),0.737 (5|3),2.398 (17|7),0.729 (5|3),2.487 (16|7),0.574 (6|3),0.523 (6|3),0.459 (5|2)
graph_mcts,graph,10000,0.243 (16|5),2.692 (2|2),0.212 (18|7),2.898 (1|1),0.164 (21|7),3.545 (5|3),0.229 (16|5),2.488 (3|3),0.219 (19|7),2.069 (1|1),0.235 (14|5),0.196 (19|7),0.144 (22|8),10000,0.149 (25|9),3.203 (16|5),0.14 (25|9),3.123 (16|3),0.128 (25|9),3.252 (17|4),0.146 (25|9),2.597 (6|1),0.142 (25|9),3.145 (18|6),0.142 (24|9),0.133 (24|9),0.118 (24|9),10000,0.329 (24|9),2.047 (3|1),0.296 (23|8),2.256 (6|1),0.233 (25|9),2.4 (8|1),0.318 (23|8),1.835 (3|3),0.307 (23|8),1.842 (1|1),0.297 (23|8),0.265 (23|8),0.205 (24|9)
dst,graph,10000,0.281 (12|4),3.754 (14|6),0.263 (11|4),3.651 (9|4),0.231 (11|4),4.153 (12|6),0.278 (12|4),3.726 (12|4),0.268 (12|4),3.433 (11|5),0.257 (11|4),0.233 (11|4),0.194 (11|4),10000,0.202 (18|5),2.778 (12|2),0.195 (16|4),2.835 (11|2),0.178 (16|4),3.039 (13|1),0.199 (18|5),2.958 (13|3),0.198 (16|4),2.857 (12|2),0.195 (17|4),0.186 (16|4),0.167 (16|4),9723.8,0.459 (12|4),2.082 (5|3),0.422 (13|5),2.277 (9|3),0.381 (13|5),2.446 (10|2),0.44 (12|4),2.104 (7|4),0.433 (11|4),2.12 (3|2),0.424 (11|3),0.38 (12|4),0.333 (12|4)
selfies_ga,string,8900.6,0.219 (21|8),2.877 (4|1),0.199 (22|9),3.467 (8|3),0.172 (20|9),4.445 (20|7),0.215 (21|8),3.44 (9|4),0.208 (21|8),3.393 (8|3),0.2 (22|8),0.178 (21|8),0.15 (20|9),10000,0.161 (24|10),5.071 (25|10),0.157 (24|10),5.005 (25|10),0.149 (24|10),4.988 (25|10),0.159 (24|10),4.742 (25|10),0.158 (24|10),5.023 (25|10),0.129 (25|10),0.122 (25|10),0.111 (25|10),10000,0.289 (25|10),3.961 (25|10),0.27 (25|10),4.122 (25|10),0.252 (21|9),4.547 (25|10),0.275 (25|10),4.212 (25|10),0.27 (25|10),4.025 (24|9),0.242 (25|10),0.224 (25|10),0.2 (25|10)
gflownet_al,graph,10000,0.229 (20|8),1.877 (1|1),0.203 (20|8),2.933 (2|2),0.164 (21|7),3.262 (2|1),0.218 (20|8),2.417 (2|2),0.212 (20|8),3.3 (4|3),0.224 (19|7),0.191 (20|8),0.146 (21|7),10000,0.191 (23|8),3.269 (19|6),0.182 (22|8),3.338 (18|5),0.167 (20|7),3.717 (21|8),0.188 (23|8),3.178 (18|6),0.186 (23|8),3.211 (21|8),0.183 (22|8),0.174 (20|7),0.157 (19|6),10000,0.333 (23|8),2.4 (19|6),0.286 (24|9),2.686 (20|7),0.24 (24|8),3.018 (20|7),0.305 (24|9),1.673 (1|1),0.298 (24|9),2.631 (17|5),0.29 (24|9),0.258 (24|9),0.214 (23|8)
screening,N/A,10000,0.272 (13|2),4.361 (21|2),0.223 (14|2),4.37 (22|2),0.182 (16|2),4.386 (19|1),0.235 (15|2),3.749 (14|2),0.23 (14|2),3.741 (14|2),0.25 (13|2),0.206 (14|2),0.162 (15|2),10000,0.245 (12|2),3.223 (17|2),0.213 (13|2),2.732 (8|1),0.184 (14|2),2.671 (7|2),0.23 (13|2),2.937 (11|1),0.219 (13|2),2.17 (1|1),0.233 (10|2),0.201 (13|2),0.171 (14|2),10000,0.419 (15|2),2.344 (16|2),0.373 (16|2),2.232 (5|2),0.317 (17|2),2.332 (5|2),0.4 (16|2),1.954 (4|1),0.383 (16|2),2.116 (2|1),0.396 (15|2),0.353 (16|2),0.29 (17|2)
mol_pal,N/A,10000,0.31 (9|1),3.385 (9|1),0.257 (12|1),4.21 (18|1),0.211 (12|1),4.645 (23|2),0.283 (11|1),3.234 (5|1),0.274 (11|1),3.386 (7|1),0.302 (6|1),0.25 (7|1),0.203 (9|1),10000,0.273 (9|1),2.12 (1|1),0.237 (11|1),2.897 (14|2),0.198 (13|1),2.593 (5|1),0.264 (10|1),3.295 (21|2),0.259 (10|1),2.241 (2|2),0.267 (6|1),0.231 (8|1),0.192 (10|1),10000,0.511 (10|1),1.908 (1|1),0.427 (12|1),2.097 (1|1),0.364 (14|1),2.245 (4|1),0.455 (11|1),2.948 (21|2),0.419 (13|1),2.458 (14|2),0.498 (8|1),0.416 (9|1),0.351 (10|1)
graph_ga,graph,10000,0.351 (6|1),3.492 (12|5),0.331 (7|2),4.137 (15|8),0.31 (5|2),4.304 (17|8),0.337 (6|1),3.923 (16|6),0.332 (7|2),3.788 (16|7),0.32 (4|1),0.295 (5|2),0.265 (3|2),10000,0.324 (4|2),3.383 (21|7),0.316 (4|2),3.346 (19|6),0.3 (4|2),3.335 (19|6),0.32 (4|2),3.108 (17|5),0.319 (4|2),3.191 (19|7),0.289 (3|2),0.274 (3|2),0.252 (3|2),9685.4,0.811 (4|2),2.067 (4|2),0.757 (4|2),2.406 (17|5),0.693 (4|2),2.622 (15|4),0.805 (4|2),2.146 (9|5),0.751 (4|2),2.476 (15|4),0.679 (3|2),0.625 (3|2),0.553 (3|2)
Ours,synthesis,8303,0.4 (1|1),3.353 (6|2),0.342 (4|1),4.161 (16|4),0.298 (6|1),4.256 (15|4),0.4 (1|1),4.12 (19|4),0.34 (5|1),5.004 (25|4),0.365 (1|1),0.297 (4|1),0.242 (5|1),9117,0.292 (7|2),2.353 (4|2),0.285 (7|2),2.649 (6|4),0.272 (6|1),2.682 (8|4),0.29 (7|2),2.447 (5|4),0.287 (7|2),3.049 (14|4),0.266 (7|1),0.254 (4|1),0.235 (5|1),7042,0.753 (6|2),1.959 (2|1),0.668 (7|2),2.195 (4|2),0.572 (7|2),2.211 (1|1),0.69 (7|2),2.193 (11|2),0.69 (7|2),2.969 (20|4),0.623 (4|1),0.547 (4|1),0.474 (4|1)
