,category,median1 K,median1 Top 1,median1 Top 1 SA,median1 Top 10,median1 Top 10 SA,median1 Top 100,median1 Top 100 SA,median1 2nd,median1 2nd SA,median1 3rd,median1 3rd SA,median1 Top 1 AUC,median1 Top 10 AUC,median1 Top 100 AUC,median2 K,median2 Top 1,median2 Top 1 SA,median2 Top 10,median2 Top 10 SA,median2 Top 100,median2 Top 100 SA,median2 2nd,median2 2nd SA,median2 3rd,median2 3rd SA,median2 Top 1 AUC,median2 Top 10 AUC,median2 Top 100 AUC,celecoxib_rediscovery K,celecoxib_rediscovery Top 1,celecoxib_rediscovery Top 1 SA,celecoxib_rediscovery Top 10,celecoxib_rediscovery Top 10 SA,celecoxib_rediscovery Top 100,celecoxib_rediscovery Top 100 SA,celecoxib_rediscovery 2nd,celecoxib_rediscovery 2nd SA,celecoxib_rediscovery 3rd,celecoxib_rediscovery 3rd SA,celecoxib_rediscovery Top 1 AUC,celecoxib_rediscovery Top 10 AUC,celecoxib_rediscovery Top 100 AUC
synnet,synthesis,5245,0.245 (15|3),4.066 (17|4),0.228 (13|3),3.807 (11|3),0.198 (14|3),3.687 (6|3),0.239 (14|3),3.587 (11|3),0.235 (13|3),3.828 (17|3),0.23 (16|3),0.21 (12|2),0.179 (12|2),4350.6,0.259 (11|3),2.364 (5|3),0.244 (10|3),2.473 (2|1),0.214 (11|3),2.459 (1|1),0.257 (11|3),2.298 (2|1),0.249 (11|3),2.309 (4|1),0.244 (9|2),0.227 (9|2),0.196 (8|2),7377.4,0.526 (9|3),2.234 (14|4),0.479 (9|3),2.262 (7|3),0.411 (9|3),2.466 (12|4),0.503 (9|3),2.427 (18|4),0.497 (9|3),2.253 (8|2),0.472 (9|3),0.428 (8|3),0.363 (8|3)
pasithea,string,3876.8,0.216 (22|9),5.432 (26|10),0.183 (24|10),4.486 (23|8),0.138 (26|10),4.319 (18|6),0.199 (23|10),4.218 (20|6),0.189 (24|10),4.482 (22|8),0.196 (24|10),0.166 (24|10),0.121 (24|10),2010.8,0.195 (21|9),2.882 (13|6),0.182 (22|9),2.747 (9|4),0.156 (23|9),2.813 (11|5),0.19 (21|9),2.946 (12|5),0.188 (21|9),3.084 (16|6),0.191 (19|9),0.174 (20|9),0.145 (22|9),3901.6,0.355 (22|9),2.383 (18|7),0.317 (21|9),2.319 (14|4),0.247 (23|10),2.512 (14|5),0.341 (21|9),2.066 (6|2),0.329 (21|9),2.249 (7|2),0.342 (21|8),0.292 (22|9),0.222 (22|9)
dog_ae,synthesis,1448.4,0.204 (25|4),3.285 (5|1),0.174 (25|4),3.192 (4|1),0.139 (24|4),2.984 (1|1),0.187 (25|4),3.181 (4|1),0.183 (25|4),2.507 (3|1),0.185 (25|4),0.157 (25|4),0.112 (25|4),1119.2,0.201 (19|4),2.347 (3|1),0.185 (20|4),2.495 (3|2),0.16 (22|4),2.591 (4|3),0.193 (19|4),2.369 (3|2),0.191 (19|4),2.375 (5|2),0.183 (22|4),0.167 (23|4),0.139 (23|4),1097.4,0.406 (17|4),2.23 (13|3),0.361 (17|4),2.278 (10|4),0.289 (20|4),2.395 (7|3),0.393 (17|4),2.333 (15|3),0.371 (18|4),2.234 (6|1),0.378 (19|4),0.322 (19|4),0.237 (20|4)
smiles_vae_bo,string,10000,0.267 (14|6),4.307 (20|7),0.223 (14|6),4.244 (20|6),0.181 (17|7),4.252 (14|5),0.258 (13|6),4.606 (22|8),0.23 (14|6),3.771 (15|5),0.253 (12|6),0.203 (15|6),0.161 (16|6),10000,0.223 (14|6),2.759 (10|4),0.207 (15|7),2.608 (5|2),0.182 (15|7),2.626 (6|2),0.215 (14|6),3.015 (14|6),0.211 (14|6),2.573 (7|2),0.213 (14|6),0.196 (14|6),0.17 (15|7),10000,0.425 (14|5),2.225 (12|4),0.382 (15|6),2.312 (13|3),0.325 (16|7),2.374 (6|2),0.401 (14|5),2.32 (14|5),0.393 (15|6),2.313 (10|4),0.409 (14|5),0.355 (15|6),0.293 (15|6)
jt_vae_bo,graph,4706.6,0.212 (23|9),5.21 (25|10),0.184 (23|9),4.187 (17|9),0.151 (23|9),4.052 (10|4),0.197 (24|9),4.031 (18|8),0.19 (23|9),4.262 (19|9),0.207 (21|9),0.176 (23|9),0.138 (23|9),5246.8,0.193 (22|7),3.013 (14|3),0.183 (21|7),3.125 (17|4),0.165 (21|8),3.196 (16|3),0.19 (21|7),3.063 (16|4),0.188 (21|7),2.992 (13|3),0.191 (19|6),0.179 (19|6),0.156 (20|7),4538,0.39 (20|7),2.408 (20|7),0.306 (22|7),2.496 (18|6),0.25 (22|7),2.744 (19|6),0.326 (22|7),2.74 (20|8),0.312 (22|7),2.72 (19|7),0.383 (17|6),0.294 (21|7),0.231 (21|7)
moldqn,graph,10000,0.188 (26|10),4.654 (23|9),0.169 (26|10),4.972 (25|10),0.139 (24|10),5.387 (25|10),0.18 (26|10),4.859 (25|10),0.176 (26|10),4.917 (24|10),0.144 (26|10),0.123 (26|10),0.094 (26|10),10000,0.109 (26|10),5.837 (26|10),0.1 (26|10),5.666 (26|10),0.085 (26|10),5.554 (26|10),0.106 (26|10),5.273 (26|10),0.105 (26|10),5.67 (26|10),0.095 (26|10),0.089 (26|10),0.072 (26|10),10000,0.128 (26|10),4.708 (26|10),0.112 (26|10),4.951 (26|10),0.094 (26|10),5.255 (26|10),0.117 (26|10),4.564 (26|10),0.114 (26|10),4.725 (26|10),0.115 (26|10),0.1 (26|10),0.08 (26|10)
mars,graph,3698.6,0.233 (18|7),3.823 (15|7),0.217 (16|5),4.063 (14|7),0.181 (17|6),4.13 (11|5),0.227 (17|6),4.666 (23|9),0.222 (17|6),3.416 (10|4),0.221 (20|8),0.198 (18|6),0.152 (19|6),4298.2,0.204 (17|4),3.036 (15|4),0.19 (18|5),3.446 (22|9),0.17 (18|6),3.774 (23|9),0.2 (17|4),3.477 (23|9),0.194 (18|5),3.066 (15|4),0.189 (21|7),0.173 (22|8),0.148 (21|8),7404.6,0.487 (11|3),2.16 (8|4),0.448 (10|3),2.3 (11|4),0.394 (11|4),2.468 (13|3),0.471 (10|3),1.825 (2|2),0.457 (10|3),2.636 (18|6),0.421 (12|4),0.37 (14|5),0.306 (14|5)
selfies_lstm_hc,string,10000,0.363 (5|4),3.533 (13|4),0.339 (5|4),3.669 (10|4),0.286 (7|4),3.833 (8|2),0.363 (5|4),3.345 (6|1),0.352 (4|4),3.4 (9|4),0.269 (9|4),0.24 (10|5),0.201 (10|5),10000,0.274 (8|4),2.184 (2|1),0.262 (9|5),2.402 (1|1),0.24 (9|5),2.564 (3|1),0.27 (8|4),2.089 (1|1),0.266 (8|4),2.294 (3|1),0.229 (12|5),0.207 (12|5),0.179 (13|6),10000,0.586 (8|4),2.205 (10|2),0.535 (8|4),2.193 (3|1),0.474 (8|4),2.239 (2|1),0.56 (8|4),2.003 (5|1),0.545 (8|4),2.262 (9|3),0.427 (10|4),0.387 (11|4),0.326 (13|5)
gp_bo,graph,10000,0.345 (7|2),4.111 (18|8),0.333 (6|1),3.992 (13|6),0.317 (3|1),4.452 (22|9),0.334 (7|2),3.926 (17|7),0.334 (6|1),3.697 (13|6),0.317 (5|2),0.302 (2|1),0.276 (2|1),10000,0.337 (2|1),3.4 (22|8),0.33 (1|1),3.358 (21|8),0.313 (1|1),3.303 (18|5),0.332 (2|1),3.43 (22|8),0.331 (1|1),3.519 (22|9),0.31 (1|1),0.298 (1|1),0.276 (1|1),10000,0.946 (2|1),2.179 (9|5),0.859 (2|1),2.274 (8|2),0.803 (2|1),2.648 (16|5),0.946 (1|1),2.179 (10|6),0.841 (2|1),2.231 (5|3),0.809 (1|1),0.725 (1|1),0.638 (1|1)
smiles_ga,string,3093,0.208 (24|10),4.708 (24|9),0.2 (21|8),5.686 (26|10),0.199 (13|6),5.93 (26|10),0.2 (22|9),5.724 (26|10),0.2 (22|9),6.035 (26|10),0.199 (23|9),0.177 (22|9),0.157 (18|8),6634.6,0.211 (15|7),3.352 (20|8),0.208 (14|6),3.453 (23|8),0.204 (12|6),3.751 (22|8),0.209 (15|7),3.249 (20|8),0.208 (15|7),3.658 (23|8),0.202 (15|7),0.195 (15|7),0.186 (12|5),3104.6,0.358 (21|8),3.378 (24|9),0.356 (19|7),3.801 (24|9),0.35 (15|6),3.999 (24|9),0.357 (20|8),3.492 (24|9),0.356 (20|8),4.186 (25|10),0.339 (22|9),0.322 (19|8),0.291 (16|7)
